County,Number of cases,Deaths,Snapshot
Baker,0,0,2020-03-20
Clatsop,0,0,2020-03-20
Columbia,0,0,2020-03-20
Coos,0,0,2020-03-20
Crook,0,0,2020-03-20
Curry,0,0,2020-03-20
Gilliam,0,0,2020-03-20
Harney,0,0,2020-03-20
Hood,0,0,2020-03-20
Jefferson,0,0,2020-03-20
Josephine,0,0,2020-03-20
Lake,0,0,2020-03-20
Lincoln,0,0,2020-03-20
Malheur,0,0,2020-03-20
Morrow,0,0,2020-03-20
River,0,0,2020-03-20
Sherman,0,0,2020-03-20
Tillamook,0,0,2020-03-20
Wallowa,0,0,2020-03-20
Wasco,0,0,2020-03-20
Wheeler,0,0,2020-03-20
Washington,31,1,2020-03-20
Linn,19,0,2020-03-20
Marion,17,0,2020-03-20
Multnomah,12,1,2020-03-20
Clackamas,10,0,2020-03-20
Deschutes,8,0,2020-03-20
Yamhill,4,0,2020-03-20
Benton,2,0,2020-03-20
Jackson,2,0,2020-03-20
Lane,2,1,2020-03-20
Umatilla,2,0,2020-03-20
Douglas,1,0,2020-03-20
Grant,1,0,2020-03-20
Klamath,1,0,2020-03-20
Polk,1,0,2020-03-20
Union,1,0,2020-03-20