County,Lat,Long
Baker,44.7346,-117.6777
Benton,44.4929,-123.3844
Clackamas,45.3088,-122.3999
Clatsop,46.1068,-123.8773
Columbia,45.9189,-122.9863
Coos,43.175,-124.179
Crook,44.1533,-120.4523
Curry,42.6002,-124.3343
Deschutes,43.9856,-121.1699
Douglas,43.253,-123.373
Gilliam,45.4204,-120.2077
Grant,44.5335,-119.0668
Harney,43.2214,-119.0481
Hood River,45.6007,-121.7147
Jackson,42.4441,-122.7875
Jefferson,44.4914,-121.3246
Josephine,42.3351,-123.5119
Klamath,42.5663,-121.6302
Lake,42.7821,-120.4691
Lane,44.0123,-123.1668
Lincoln,44.6733,-123.9267
Linn,44.4924,-122.7806
Malheur,43.9454,-117.484
Marion,44.9367,-122.7301
Morrow,45.4757,-119.6694
Multnomah,45.5437,-122.5346
Polk,44.9262,-123.3237
Sherman,45.4041,-120.7307
Tillamook,45.3957,-123.8622
Umatilla,45.726,-118.745
Union,45.3181,-117.9619
Wallowa,45.5356,-117.2036
Wasco,45.3856,-121.2283
Washington,45.5404,-123.002
Wheeler,44.7845,-120.02
Yamhill,45.2256,-123.1982